Age;Sex;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
61;Persons;843033;814235;797216;781524;754127;731192;707165;712559;707249;691485;701824;721225;746225;795419;861644;684546;675319;675078;649425;592243;559096;586303;593260;592122;583322
62;Persons;808776;792518;775571;748639;726003;702374;707831;702418;686869;696901;715910;740580;788886;857359;678207;666741;669452;642664;586604;552977;580404;586931;586834;577758;568631
63;Persons;786567;770014;742295;720202;697007;702408;697020;681612;691799;710163;734692;781519;852854;671635;660415;662147;635511;579948;546104;573959;580754;580467;572296;562598;552998
64;Persons;763646;736550;713587;691006;696483;691190;675797;686023;704199;728332;774889;847610;664889;653523;656888;627114;573162;538241;566768;574108;573792;565921;556381;546645;533180
65;Persons;729707;707567;684235;690076;684378;669466;679627;697439;721498;767490;839722;657375;646963;651467;621026;565815;528747;559114;565880;565780;558112;549825;540082;526160;529311
66;Persons;700423;677727;682657;677331;662535;672714;690219;713879;759986;831161;650196;639207;645894;613964;559678;520655;549995;557899;557304;549364;541481;532736;518692;521584;534019
67;Persons;670255;675287;669251;655022;665136;682260;705839;751435;822288;642415;631562;639479;606816;552913;513367;541291;548275;548875;540413;532620;524147;510689;513481;524516;535086
68;Persons;666982;661092;646500;657167;673544;697101;742125;812334;634517;623349;631265;598997;546142;505268;533532;539371;538893;531075;522888;515162;501674;505221;515149;524702;523636
69;Persons;652404;637654;647754;664172;687459;732096;801407;625501;614824;622368;590304;538362;497047;524991;531005;529292;520447;513148;505105;491598;495008;505401;513994;512258;505858
70;Persons;628266;638158;653744;677254;720917;789679;615852;605392;613080;581146;529959;487997;515987;521929;520161;510525;502565;495302;481186;484190;494532;502736;500244;493732;487741
71;Persons;627862;642662;665519;709545;776840;605713;595134;602638;571534;520954;479137;506099;512583;510426;500526;491988;484333;470448;472690;482948;490339;487998;481031;474363;483403
72;Persons;631141;653376;696260;763332;594268;583937;591551;560559;511164;469609;496031;502460;500282;489755;481556;473398;458752;460772;470302;477001;474759;468097;460387;468806;476279
73;Persons;640637;682401;747530;582598;571947;579358;548847;500555;459822;485011;491436;489447;478654;470173;462481;447257;447891;457624;463155;460683;453756;446292;453652;460084;458484
74;Persons;667794;731010;568623;559502;566036;536276;489169;448666;474085;479691;477927;466982;458366;450701;435573;435092;443902;449017;445942;438679;431163;438447;443266;441492;445259
75;Persons;713344;554189;544680;552350;522325;476665;436826;461398;467607;465279;454485;445895;438637;423142;421980;430227;434094;431038;422940;415400;421860;426697;423768;427066;431429
76;Persons;538898;529206;536112;508237;462978;424297;448314;453789;452524;440825;432857;425781;410180;408028;416093;418849;415312;406727;399094;404432;408791;406696;408349;412194;433618
77;Persons;512862;519054;491448;449417;410544;434077;439434;437718;427257;418660;411740;396543;393671;401194;403373;399193;390060;382435;386498;390169;387978;389994;392232;412753;433515
78;Persons;501291;473757;432742;396667;418533;423943;422313;411691;404277;396415;381978;378792;386197;387181;382628;373206;364910;368198;371085;368717;370439;373142;391122;410915;419602
79;Persons;455370;415519;379697;402876;407069;405681;395809;387762;381241;366108;363575;370086;370609;365312;355954;347483;349732;351408;348841;350042;352967;370305;387711;393387;284208
80;Persons;397325;362364;383641;390143;387637;378482;370715;363433;350259;346757;353227;353277;347786;337740;329505;330662;332048;328831;329384;331616;347635;365123;366751;268817;244002
81;Persons;344320;364360;369563;369652;359476;352365;345411;332199;330099;334898;334630;329766;319316;310566;311268;312151;308639;308369;309830;324575;340557;341084;252882;226701;252357
82;Persons;344191;348767;347826;340667;332404;326079;313834;311019;316621;314312;310337;300521;292027;291232;291535;288124;287464;288311;301036;315257;314906;237883;209008;232322;248742
83;Persons;327388;325889;318378;312687;305509;294216;291544;295555;294440;289693;280776;272637;271513;271028;267206;266578;266999;277642;289696;288378;219910;191747;212247;226603;242710
84;Persons;303378;295874;289236;285175;272954;270919;274628;272075;269693;259412;252363;251025;250532;245920;245354;245493;254456;264507;261636;201906;174505;192976;204716;219296;221012
85;Persons;273051;266172;261009;252482;249342;252489;250173;246915;239160;230710;230407;229527;225211;223823;223730;231569;239911;235449;183892;156961;173721;183648;196451;197397;194753
86;Persons;243207;237731;228547;228441;229324;227324;224476;216409;210841;208738;208302;204539;203029;202018;208743;215438;210434;166140;139392;154658;163368;175214;174891;172543;168009
87;Persons;214773;205763;203964;207567;203366;201300;194559;188295;188413;186443;183628;182483;181185;186046;191786;185745;149197;123045;135891;143407;154191;154045;151156;146793;144441
88;Persons;183020;180785;182506;181204;177559;172360;166961;165900;166264;162295;161963;160883;164893;168199;161306;133205;107376;118130;124021;133904;133872;131343;126883;124256;123961
89;Persons;158487;159475;155983;155657;149359;145575;145047;144126;142684;140765;140392;144135;146399;137897;117593;92615;101803;105794;114660;114256;112228;108693;105913;105133;104461
90+;Persons;609898;597850;588330;589438;572354;571270;565393;552296;548355;525790;512849;485891;452808;420913;406684;417777;418013;415686;406865;397793;387938;376806;363739;353631;344122
All Ages;Males;33108127;32770415;32681932;32649460;32499295;32362858;32202031;31958675;31722906;31494101;31294381;31097259;30805490;30532211;30300617;30027883;29761524;29540973;29296969;29125301;28972739;28832264;28690450;28578474;28458360
0;Males;355524;345998;358223;369114;377980;387819;398858;395937;396857;404832;415251;409580;405124;400614;403423;388360;375400;366823;361598;349243;338612;338443;349764;361223;364935
1;Males;353656;359627;369546;377846;387378;399389;397449;398573;406712;416795;412171;403912;399994;402969;388734;377282;366440;361360;349251;339228;339141;348546;359406;365074;374946
2;Males;366530;368813;375683;386358;398533;396828;399347;407695;417838;413664;405731;399930;403643;389095;378671;367543;360845;349512;340209;340924;349621;358313;364241;374945;369646
3;Males;375590;373871;384611;398030;395491;398528;408138;418602;415058;407022;401481;404523;390187;379857;367838;361635;349522;340974;342852;351492;359517;363915;374494;370542;373854
4;Males;379946;383539;396797;394832;397526;407643;419081;416433;408520;402916;405728;391667;381728;367838;361671;350521;341460;344490;353634;361705;365410;374050;371197;373984;384250
5;Males;389491;396235;393575;396989;407276;419012;417838;410179;404697;406932;392512;383111;368029;361952;350729;342389;345561;354666;363720;367459;376220;371490;373875;384347;386999
6;Males;402328;393193;396161;407304;418668;418462;411621;406432;408425;393456;383872;368248;361997;351164;343136;347282;355880;364829;369284;378185;373780;373501;383358;387461;400250
7;Males;399094;395949;406829;418789;418811;412327;407952;409933;394499;384631;370394;361924;351438;344137;348889;357755;366203;370502;380150;376159;375175;381828;387225;400160;404082
8;Males;401602;406750;418212;419483;412663;408727;411077;395509;385467;372408;364273;351669;344917;350766;359513;368251;371825;381145;378494;376854;383922;386942;399688;405028;397193
9;Males;412248;418132;419566;413554;409604;411957;396622;386561;374909;366935;354227;345654;352334;361421;370024;373679;382502;380136;378428;385889;387932;399291;405420;397882;394031
10;Males;423339;420377;413870;410781;412617;397187;387445;377213;369689;356700;347408;354100;363471;372366;375161;384659;381835;380463;387764;389623;400174;405923;398470;394662;399455
11;Males;425205;414894;411475;413990;397849;388209;379727;372592;359527;349504;354827;365394;374568;377434;386222;384179;381631;390199;390593;401181;406993;399318;395023;400346;389669
12;Males;419538;412660;414609;398910;388975;382037;375563;362401;351702;355692;365750;376524;379513;388510;386034;383294;391486;391743;401093;407894;399361;395515;400521;390342;384983
13;Males;417190;415915;399420;389984;384450;378410;365510;354247;356964;366475;376827;381599;390716;388733;384643;393549;392176;401356;407911;399706;394656;400912;390985;385473;387543
14;Males;420487;400955;391224;387542;381721;368849;357130;358750;367659;377464;381502;392835;391219;386599;395098;393069;400780;408281;398982;394128;398801;391655;385763;388480;371317
15;Males;405549;392805;389639;385335;372518;360239;361081;369526;378834;381900;392942;395133;390167;398947;395569;402974;411034;399985;394235;398612;389787;387827;388092;371965;368285
16;Males;398562;392238;387961;376296;363740;363393;372087;380971;383149;393582;394958;394082;403447;399088;405139;413958;402594;395196;398439;388737;388023;391529;372243;368642;368738
17;Males;399475;392006;380183;368361;366962;375178;384714;386021;395785;395885;395350;408483;403074;409294;416374;406315;398028;398464;387468;388945;391871;376045;368023;369382;375207
18;Males;402266;389162;375911;374757;381749;391206;393513;402322;400794;399610;412313;409760;415043;422883;409924;402475;402857;387827;391023;394525;378425;366116;360375;367957;369144
19;Males;402751;388835;386634;391666;400781;401988;413364;409729;408477;419726;416894;424096;432314;416476;408047;409751;395363;395970;399249;383935;372172;357997;360922;361435;348096
20;Males;400955;393217;397385;407751;408113;419257;417668;416498;426483;422502;429597;442154;425314;408564;412341;399665;399560;403653;387809;373612;360791;372326;373039;359060;335561
21;Males;402019;400039;407972;411986;422496;420294;422858;432106;427187;433884;445087;436928;419070;412834;401541;407229;409312;394665;380624;364698;375954;373934;357911;336043;331749
22;Males;410453;408735;407849;423780;420378;423924;436037;431370;437097;446360;438192;431718;424135;402912;412831;418780;401200;390130;374808;380154;378964;360485;337538;333747;346406
23;Males;423237;409506;420439;421049;425066;436981;436322;442730;449016;440022;433022;436069;413317;415723;424825;412291;398824;386453;390748;383920;366235;342457;336437;348844;357377
24;Males;423557;417351;411157;417055;429080;428725;438516;445197;434500;427411;429437;423165;427114;427425;417957;410929;396871;402318;395601;371628;348147;342750;351659;359755;369705
25;Males;430444;410613;412990;424686;423584;434016;442260;432719;424229;425910;417818;433531;429964;417678;418270;406738;409499;404960;377446;353523;349973;357748;365353;373304;396635
26;Males;423350;415586;423502;423358;433367;440815;433928;426044;426303;416949;429892;435689;419892;418898;414977;418598;412481;386435;358314;355179;363790;371042;378190;399561;419568
27;Males;426704;426726;424658;436243;442241;435736;430474;430660;419254;429688;434060;425126;422057;417125;426395;421903;394065;366242;359829;368598;376592;383809;404296;422494;434155
28;Males;436397;428253;438578;445803;438587;433477;435862;423723;431361;434234;423941;428262;421782;428581;430297;403366;372959;367764;372667;381226;389097;408912;426637;436513;432021
29;Males;436489;442194;447936;442693;436882;439178;429009;434785;435793;424219;427458;428925;432713;433025;411455;380785;373911;379587;384936;393504;413541;430324;440461;434274;445603
30;Males;449383;450308;445283;441917;442911;431985;438334;438605;425598;427862;428492;434468;434049;416963;386358;376414;382088;388185;394514;414417;430693;443470;437589;447247;450912
31;Males;456682;448480;443956;447914;435343;440018;441869;428169;429276;429130;434293;436318;418089;390379;381181;384103;390064;397487;415572;431588;443895;440882;450337;452642;464235
32;Males;453690;446106;449382;438333;440918;442145;430054;430811;429730;434306;435852;420578;390861;385159;388297;391783;399535;418450;432808;444964;441418;452373;454765;465348;464430
33;Males;450709;450888;438958;442092;442644;429985;432459;431217;435022;436399;420454;392479;385720;391629;395510;401117;420168;435264;445927;441676;452356;457001;467598;465359;470351
34;Males;455033;440449;441381;443425;430403;432552;433210;436917;437834;421334;392731;387494;391999;398580;404702;421812;436921;448442;441939;452554;456535;469242;467262;470301;466020
35;Males;444369;440678;441873;430555;432653;433161;438628;439774;422676;393614;387988;393012;399222;404896;423207;440596;450658;445534;453129;458233;469539;467910;470495;465775;457506
36;Males;444150;440163;428687;432321;432997;438457;441546;424501;394821;388912;394098;400161;405721;423555;441911;453906;446724;456143;458155;470872;468318;470602;465539;457456;446403
37;Males;442891;426763;430319;432300;437798;441105;425686;395900;389737;395073;401253;406697;424268;442157;455358;449146;457176;460620;470602;469424;470765;465592;457582;446446;438087
38;Males;429340;427706;430089;437068;440559;425326;396834;390749;396216;402438;407521;425323;442885;455774;449714;459131;461023;472441;469216;471971;465890;457675;446374;437787;422098
39;Males;429941;427775;435080;439980;424696;396278;391439;397441;403689;408518;425902;443860;456510;449263;459613;462300;472518;470853;471615;467377;458470;446624;437535;422473;412998
